,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
64,Kia,2018.0,RIO,Hatchback,USED,Automatic,Front,Unleaded,5.4,42071.0,3,Hatchback,5,5,24999.0,1.0,6,NSW
65,Jeep,2015.0,Cherokee,SUV,USED,Automatic,4WD,Unleaded,10.0,85958.0,6,SUV,4,5,17999.0,3.2,9,NSW
66,Volkswagen,2011.0,Tiguan,SUV,USED,Automatic,AWD,Premium,8.8,118642.0,4,SUV,4,5,12990.0,2.0,13,NSW
67,Mitsubishi,2012.0,ASX,SUV,USED,Automatic,Front,Unleaded,7.9,187265.0,4,SUV,4,5,13990.0,2.0,12,NSW
68,BMW,2016.0,220I,Convertible,USED,Automatic,Rear,Premium,6.4,118120.0,4,Convertible,2,4,28990.0,2.0,8,NSW
69,Hyundai,2022.0,Tucson,SUV,USED,Automatic,Front,Unleaded,8.1,19978.0,4,SUV,4,5,36800.0,2.0,2,NSW
70,Mazda,2011.0,3,Sedan,USED,Automatic,Front,Unleaded,8.2,86804.0,4,Sedan,4,5,13999.0,2.0,13,NSW
71,Volkswagen,2023.0,Tiguan,Alto Volkswagen New Cars,NEW,Automatic,AWD,Premium,8.9,15.0,4,SUV,4,7,56887.0,2.0,1,NSW
72,Hyundai,2014.0,Imax,Wagon,USED,Automatic,Rear,Diesel,9.0,183550.0,4,Wagon,4,8,19888.0,2.5,10,NSW
73,Toyota,2014.0,Yaris,Hatchback,USED,Automatic,Front,Unleaded,6.3,191748.0,4,Hatchback,5,5,8995.0,1.3,10,NSW
74,Toyota,2016.0,Kluger,SUV,USED,Automatic,Front,Unleaded,10.4,139637.0,6,SUV,4,7,31900.0,3.5,8,NSW
75,Mitsubishi,2013.0,Lancer,Sedan,USED,Automatic,Front,Unleaded,7.2,165306.0,4,Sedan,4,5,14995.0,2.0,11,NSW
76,Subaru,2016.0,XV,SUV,USED,Automatic,AWD,Unleaded,7.1,104887.0,4,SUV,4,5,22990.0,2.0,8,NSW
77,Mini,2017.0,Cooper,Hatchback,USED,Automatic,Front,Premium,5.5,72501.0,4,Hatchback,5,5,31990.0,2.0,7,NSW
79,Holden,2010.0,Commodore,Ute / Tray,USED,Manual,Rear,Unleaded,14.5,169220.0,8,Ute / Tray,2,2,25999.0,6.0,14,NSW
80,Hyundai,2015.0,I20,Hatchback,USED,Automatic,Front,Unleaded,5.9,111783.0,4,Hatchback,5,5,13990.0,1.4,9,NSW
81,Mazda,2018.0,BT-50,Ute / Tray,USED,Automatic,Rear,Diesel,9.3,97460.0,5,Ute / Tray,4,5,30990.0,3.2,6,NSW
82,Mazda,2009.0,3,Sedan,USED,Automatic,Front,Unleaded,8.2,178389.0,4,Sedan,4,5,8499.0,2.0,15,NSW
