,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
9739,Subaru,2017.0,Liberty,Sedan,USED,Automatic,AWD,Premium,9.9,54642.0,6,Sedan,4,5,31990.0,3.6,7,VIC
9740,Hyundai,2022.0,I30,Sedan,USED,Automatic,Front,Premium,8.2,6000.0,4,Sedan,4,5,49950.0,2.0,2,QLD
9741,Subaru,2019.0,Liberty,Sedan,USED,Automatic,AWD,Unleaded,9.9,75906.0,6,Sedan,4,5,35950.0,3.6,5,VIC
9742,Holden,2017.0,Captiva,SUV,USED,Automatic,AWD,Diesel,8.1,81745.0,4,SUV,4,7,21490.0,2.2,7,VIC
9743,Kia,2019.0,Carnival,Wagon,USED,Automatic,Front,Unleaded,11.6,93723.0,6,Wagon,4,8,41990.0,3.3,5,VIC
9744,MG,2022.0,HS,SUV,USED,Automatic,Front,Unleaded,7.3,30611.0,4,SUV,4,5,34950.0,1.5,2,VIC
9745,HSV,2008.0,Maloo,Ute / Tray,USED,Manual,Rear,Premium,14.5,132419.0,8,Ute / Tray,2,2,49999.0,6.0,16,VIC
9746,Toyota,2019.0,Kluger,SUV,USED,Automatic,Front,Unleaded,9.3,86607.0,6,SUV,4,7,49970.0,3.5,5,VIC
9747,Renault,2022.0,Arkana,Renault NEW Frizelle Sunshine Automotive,NEW,Automatic,Front,Unleaded,6.0,8.0,4,SUV,4,5,48490.0,1.3,2,QLD
9750,Isuzu,2022.0,MU-X,SUV,USED,Automatic,4WD,Diesel,8.3,26743.0,4,SUV,4,7,49999.0,3.0,2,QLD
9751,Holden,2019.0,Acadia,SUV,USED,Automatic,Front,Unleaded,8.9,61420.0,6,SUV,4,7,36880.0,3.6,5,VIC
9753,Kia,2021.0,Cerato,Sedan,USED,Automatic,Front,Unleaded,7.4,24575.0,4,Sedan,4,5,26490.0,2.0,3,QLD
9754,Holden,2009.0,Captiva,SUV,USED,Automatic,4WD,Diesel,8.7,173459.0,4,SUV,4,7,8999.0,2.0,15,QLD
9755,Audi,2019.0,SQ5,SUV,USED,Automatic,AWD,Premium,8.7,64490.0,6,SUV,4,5,76990.0,3.0,5,VIC
9757,Jaguar,2014.0,XKR,Coupe,USED,Automatic,Rear,Premium,12.3,53620.0,8,Coupe,2,4,105990.0,5.0,10,VIC
9758,Mitsubishi,2021.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,8.6,57429.0,4,Ute / Tray,4,5,43990.0,2.4,3,QLD
9759,Kia,2020.0,Picanto,Hatchback,USED,Automatic,Front,Unleaded,5.8,43664.0,4,Hatchback,5,5,20490.0,1.2,4,QLD
9760,BMW,2021.0,118I,Hatchback,USED,Automatic,Front,Premium,5.9,3622.0,3,Hatchback,5,5,48888.0,1.5,3,VIC
9761,Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,7.6,59319.0,4,Ute / Tray,4,5,48888.0,2.4,6,VIC
9762,Toyota,2021.0,Corolla,Hatchback,USED,Automatic,Front,Unleaded,6.0,14168.0,4,Hatchback,5,5,29895.0,2.0,3,QLD
9763,Hyundai,2021.0,I30,Hatchback,USED,Automatic,Front,Unleaded,7.4,33454.0,4,Hatchback,5,5,25990.0,2.0,3,QLD
9764,Mazda,2019.0,CX-8,SUV,USED,Automatic,Front,Diesel,5.7,45302.0,4,SUV,4,7,39990.0,2.2,5,VIC
9765,Hyundai,2021.0,I30,Hatchback,USED,Automatic,Front,Unleaded,7.4,28834.0,4,Hatchback,4,5,28990.0,2.0,3,QLD
9768,Audi,2017.0,TT,Convertible,USED,Automatic,AWD,Premium,8.6,42750.0,5,Convertible,2,4,95990.0,2.5,7,VIC
9769,Nissan,2018.0,Navara,Ute / Tray,USED,Manual,Rear,Diesel,6.6,194201.0,4,Ute / Tray,2,2,19990.0,2.3,6,QLD
9770,Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,Rear,Diesel,7.5,108105.0,4,Ute / Tray,4,5,33749.0,2.4,6,QLD
9771,Ford,2014.0,Kuga,SUV,USED,Automatic,AWD,Diesel,6.3,172591.0,4,SUV,4,5,14990.0,2.0,10,VIC
9772,Renault,2022.0,Arkana,SUV,USED,Automatic,Front,Unleaded,6.0,8950.0,4,SUV,4,5,38750.0,1.3,2,QLD
9773,Isuzu,2018.0,D-MAX,Ute / Tray,USED,Manual,4WD,Diesel,7.8,229834.0,4,Ute / Tray,4,5,34990.0,3.0,6,QLD
9774,Holden,2009.0,Cruze,Sedan,USED,Automatic,Front,Unleaded,7.5,193232.0,4,Sedan,4,5,6499.0,1.8,15,VIC
9775,Ssangyong,2010.0,Actyon,Ute / Tray,USED,Manual,4WD,Diesel,8.0,96477.0,4,Ute / Tray,4,5,15995.0,2.0,14,QLD
9776,Mercedes-Benz,2011.0,C63,Sedan,USED,Automatic,Rear,Premium,13.4,128093.0,8,Sedan,4,5,49980.0,6.2,13,QLD
9777,Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,7.6,105161.0,4,Ute / Tray,4,5,35990.0,2.4,6,QLD
9779,Kia,2017.0,Cerato,Hatchback,USED,Automatic,Front,Unleaded,7.3,87705.0,4,Hatchback,5,5,19990.0,2.0,7,QLD
9780,Mazda,2016.0,CX-5,SUV,USED,Automatic,Front,Unleaded,6.4,93002.0,4,SUV,4,5,22990.0,2.0,8,QLD
9781,Volkswagen,2016.0,Tiguan,SUV,USED,Automatic,AWD,Premium,7.5,95312.0,4,SUV,4,5,27970.0,2.0,8,VIC
9783,Kia,2007.0,Grand,Wagon,USED,Automatic,Front,Unleaded,12.8,189000.0,6,Wagon,4,8,9900.0,3.8,17,QLD
9784,Volkswagen,2019.0,Tiguan,SUV,USED,Automatic,AWD,Premium,7.5,54648.0,4,SUV,4,5,45990.0,2.0,5,VIC
9785,Hyundai,2015.0,Sonata,Sedan,USED,Automatic,Front,Unleaded,8.3,136005.0,4,Sedan,4,5,14999.0,2.4,9,QLD
9786,Toyota,2015.0,Corolla,Hatchback,USED,Automatic,Front,Unleaded,6.1,199672.0,4,Hatchback,5,5,17799.0,1.8,9,VIC
9787,Audi,2018.0,Q2,SUV,USED,Automatic,Front,Premium,5.3,143539.0,4,SUV,4,5,25990.0,1.4,6,QLD
9789,Holden,2010.0,Commodore,Ute / Tray,USED,Automatic,Rear,Unleaded,12.9,120110.0,8,Ute / Tray,2,2,25999.0,6.0,14,VIC
9791,Mitsubishi,2019.0,ASX,SUV,USED,Automatic,Front,Unleaded,7.6,86117.0,4,SUV,4,5,27990.0,2.0,5,VIC
9793,Hyundai,2020.0,Kona,SUV,USED,Automatic,Front,Unleaded,7.2,58301.0,4,SUV,4,5,24607.0,2.0,4,QLD
9794,Isuzu,2019.0,D-MAX,Ute / Tray,USED,Automatic,Rear,Diesel,7.7,99970.0,4,Ute / Tray,4,5,29999.0,3.0,5,VIC
9795,Alfa,2014.0,Romeo,Hatchback,USED,Manual,Front,Premium,5.6,92500.0,4,Hatchback,3,5,10692.0,1.4,10,QLD
9796,Ford,2008.0,Focus,Sedan,USED,Automatic,Front,Unleaded,8.0,221000.0,4,Sedan,4,5,7999.0,2.0,16,VIC
9797,GWM,2021.0,Haval,SUV,USED,Automatic,Front,Premium,8.1,27758.0,4,SUV,4,5,23998.0,1.5,3,QLD
9798,Mitsubishi,2005.0,Triton,Ute / Tray,USED,Manual,4WD,Unleaded,14.0,296000.0,6,Ute / Tray,4,5,8900.0,3.0,19,QLD
9799,Ford,2006.0,Focus,Hatchback,USED,Automatic,Front,Unleaded,8.0,159534.0,4,Hatchback,5,5,9999.0,2.0,18,VIC
9800,Volkswagen,2013.0,Polo,Hatchback,USED,Automatic,Front,Premium,6.1,171519.0,4,Hatchback,5,5,14995.0,1.4,11,QLD
9801,Holden,2007.0,Commodore,Sedan,USED,Automatic,Rear,Unleaded,11.0,141281.0,6,Sedan,4,5,16990.0,3.6,17,VIC
9802,Hyundai,2016.0,Tucson,SUV,USED,Automatic,AWD,Unleaded,7.7,83289.0,4,SUV,4,5,29990.0,1.6,8,VIC
9803,Kia,2020.0,Cerato,Sedan,USED,Automatic,Front,Unleaded,7.4,57201.0,4,Sedan,4,5,26980.0,2.0,4,VIC
9804,Mazda,2006.0,3,Sedan,USED,Manual,Front,Unleaded,9.0,234410.0,4,Sedan,4,5,7999.0,2.3,18,VIC
9805,Mitsubishi,2019.0,Eclipse,SUV,USED,Automatic,Front,Unleaded,7.3,44703.0,4,SUV,4,5,29950.0,1.5,5,VIC
9806,Audi,2015.0,Q3,SUV,USED,Automatic,AWD,Diesel,5.2,132000.0,4,SUV,4,5,21650.0,2.0,9,QLD
9807,Kia,2020.0,Cerato,Sedan,USED,Automatic,Front,Unleaded,7.4,50865.0,4,Sedan,4,5,25490.0,2.0,4,VIC
9808,Nissan,2020.0,Navara,Ute / Tray,USED,Automatic,4WD,Diesel,7.0,106849.0,4,Ute / Tray,2,4,46990.0,2.3,4,QLD
9809,Honda,2012.0,CR-V,SUV,USED,Automatic,Rear,Unleaded,7.7,167145.0,4,SUV,4,5,16499.0,2.0,12,VIC
9810,Toyota,2013.0,86,Coupe,USED,Manual,Rear,Premium,7.8,32605.0,4,Coupe,2,4,27990.0,2.0,11,QLD
9811,Subaru,2018.0,WRX,Sedan,USED,Manual,AWD,Premium,11.2,29030.0,4,Sedan,4,5,61950.0,2.5,6,VIC
9812,Hyundai,2021.0,Kona,SUV,USED,Automatic,AWD,Unleaded,6.9,15715.0,4,SUV,4,5,42990.0,1.6,3,VIC
9813,Honda,2015.0,Jazz,Hatchback,USED,Automatic,Front,Unleaded,5.8,78254.0,4,Hatchback,5,5,23950.0,1.5,9,VIC
9814,Ford,2013.0,Ranger,Ute / Tray,USED,Automatic,4WD,Diesel,9.2,255307.0,5,Ute / Tray,4,5,27990.0,3.2,11,QLD
9815,Ford,2016.0,Escape,SUV,USED,Automatic,AWD,Premium,8.8,110166.0,4,SUV,4,5,22990.0,2.0,8,QLD
9816,Holden,2015.0,Captiva,SUV,USED,Automatic,Front,Unleaded,9.0,123500.0,4,SUV,4,7,11990.0,2.4,9,VIC
9817,Kia,2020.0,Cerato,Sedan,USED,Automatic,Front,Unleaded,7.4,53913.0,4,Sedan,4,5,25490.0,2.0,4,VIC
9818,MG,2022.0,MG3,Brighton MG,NEW,Automatic,Front,Premium,6.7,10.0,4,Hatchback,5,5,20980.0,1.5,2,VIC
9820,Kia,2020.0,Cerato,Hatchback,USED,Automatic,Front,Unleaded,7.4,54548.0,4,Hatchback,5,5,25490.0,2.0,4,VIC
9821,Opel,2013.0,Astra,Hatchback,USED,Manual,Front,Premium,5.9,86852.0,4,Hatchback,5,5,8999.0,1.4,11,VIC
9822,Ford,2005.0,Falcon,Sedan,USED,Automatic,Rear,Unleaded,11.5,216986.0,6,Sedan,4,5,7990.0,4.0,19,VIC
9823,MG,2022.0,HS,SUV,USED,Automatic,Front,Unleaded,7.3,18511.0,4,SUV,4,5,33910.0,1.5,2,VIC
9824,Holden,2004.0,Crewman,Ute / Tray,USED,Automatic,Rear,Unleaded,0.0,220501.0,6,Ute / Tray,4,5,11995.0,3.8,20,QLD
9825,Honda,2016.0,HR-V,SUV,USED,Automatic,Front,Unleaded,6.9,101269.0,4,SUV,4,5,20990.0,1.8,8,VIC
9826,Mitsubishi,2013.0,Outlander,SUV,USED,Automatic,AWD,Unleaded,7.5,102772.0,4,SUV,4,7,21990.0,2.4,11,QLD
9827,Peugeot,2019.0,308,Hatchback,USED,Automatic,Front,Premium,5.2,92881.0,3,Hatchback,5,5,19990.0,1.2,5,VIC
9829,Mazda,2009.0,CX-7,SUV,USED,Automatic,AWD,Unleaded,11.5,231703.0,4,SUV,4,5,8999.0,2.3,15,QLD
9831,Holden,2013.0,Captiva,SUV,USED,Automatic,AWD,Diesel,8.1,164738.0,4,SUV,4,7,12990.0,2.2,11,QLD
9832,Volkswagen,2014.0,Golf,Hatchback,USED,Automatic,Front,Premium,6.2,128726.0,4,Hatchback,5,5,27990.0,2.0,10,VIC
9833,Kia,2021.0,Cerato,Hatchback,USED,Automatic,Front,Unleaded,7.4,23345.0,4,Hatchback,5,5,28990.0,2.0,3,VIC
9834,Honda,2021.0,CR-V,SUV,USED,Automatic,Front,Unleaded,7.3,4150.0,4,SUV,4,7,48990.0,1.5,3,VIC
9835,Hyundai,2012.0,I45,Sedan,USED,Automatic,Front,Unleaded,7.6,169208.0,4,Sedan,4,5,11950.0,2.0,12,QLD
9836,Mazda,2022.0,3,Hatchback,USED,Automatic,Front,Unleaded,6.2,3701.0,4,Hatchback,5,5,36990.0,2.0,2,VIC
9837,BMW,2016.0,118D,Hatchback,USED,Automatic,Rear,Diesel,4.5,79093.0,4,Hatchback,5,5,27990.0,2.0,8,VIC
9838,Land,2017.0,Rover,SUV,USED,Automatic,AWD,Diesel,5.4,98121.0,4,SUV,4,5,64888.0,2.0,7,VIC
9840,Hyundai,2018.0,Santa,SUV,USED,Automatic,AWD,Diesel,7.8,94003.0,4,SUV,4,7,28495.0,2.2,6,QLD
9841,Mercedes-Benz,2019.0,A180,Hatchback,USED,Automatic,Front,Unleaded,5.7,44700.0,4,Hatchback,5,5,42990.0,1.3,5,QLD
9842,Mazda,2012.0,6,Hatchback,USED,Automatic,Front,Unleaded,8.8,216057.0,4,Hatchback,5,5,12990.0,2.5,12,QLD
9843,Mazda,2019.0,CX-9,SUV,USED,Automatic,AWD,Unleaded,8.8,89902.0,4,SUV,4,7,46990.0,2.5,5,VIC
9844,Volkswagen,2020.0,T-ROC,SUV,USED,Automatic,AWD,Premium,7.2,29840.0,4,SUV,4,5,41990.0,2.0,4,QLD
9845,Hyundai,2016.0,Accent,Sedan,USED,Automatic,Front,Unleaded,6.2,197973.0,4,Sedan,4,5,12990.0,1.4,8,QLD
9846,GWM,2022.0,Haval,SUV,USED,Automatic,Front,Premium,8.1,8130.0,4,SUV,4,5,32990.0,1.5,2,QLD
9847,Volkswagen,2013.0,Passat,Sedan,USED,Automatic,Front,Diesel,5.4,136711.0,4,Sedan,4,5,13999.0,2.0,11,QLD
9848,Mitsubishi,2018.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,7.6,87333.0,4,Ute / Tray,4,5,31749.0,2.4,6,QLD
9849,Mazda,2013.0,BT-50,Ute / Tray,USED,Manual,Rear,Diesel,8.4,160645.0,5,Ute / Tray,4,5,21995.0,3.2,11,QLD
9850,Honda,2007.0,Jazz,Hatchback,USED,Automatic,Front,Unleaded,5.6,201167.0,4,Hatchback,5,5,7999.0,1.3,17,QLD
9851,MG,2021.0,ZST,SUV,USED,Automatic,Front,Unleaded,6.9,19270.0,4,SUV,5,5,25990.0,1.5,3,QLD
9852,Subaru,2019.0,XV,SUV,USED,Automatic,AWD,Unleaded,7.1,91185.0,4,SUV,4,5,26980.0,2.0,5,QLD
9853,Nissan,2010.0,Dualis,SUV,USED,Manual,Front,Unleaded,8.1,220004.0,4,SUV,4,5,8999.0,2.0,14,QLD
9854,Holden,2013.0,Cruze,Wagon,USED,Automatic,Front,Diesel,6.7,153035.0,4,Wagon,4,5,8499.0,2.0,11,VIC
9855,Jeep,2014.0,Grand,SUV,USED,Automatic,4WD,Premium,10.4,290932.0,6,SUV,4,5,11999.0,3.6,10,QLD
9856,Kia,2014.0,Sportage,SUV,USED,Automatic,Front,Unleaded,8.8,104878.0,4,SUV,4,5,18690.0,2.0,10,QLD
9857,Audi,2016.0,Q3,SUV,USED,Automatic,AWD,Diesel,5.2,166363.0,4,SUV,4,5,21999.0,2.0,8,VIC
9858,Nissan,2015.0,X-Trail,SUV,USED,Automatic,Front,Unleaded,7.9,256000.0,4,SUV,4,7,17999.0,2.5,9,VIC
9859,Holden,2011.0,Captiva,SUV,USED,Automatic,Front,Diesel,8.1,138252.0,4,SUV,4,7,12990.0,2.2,13,QLD
9860,BMW,2017.0,X3,SUV,USED,Automatic,4WD,Diesel,5.9,65568.0,6,SUV,4,5,44800.0,3.0,7,QLD
9861,Toyota,2016.0,Corolla,Hatchback,USED,Automatic,Front,Unleaded,6.1,60136.0,4,Hatchback,5,5,22990.0,1.8,8,VIC
9862,Mitsubishi,2017.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,7.6,62677.0,4,Ute / Tray,4,5,41870.0,2.4,7,VIC
9863,Toyota,2021.0,RAV4,SUV,USED,Automatic,Front,Hybrid,4.7,52152.0,4,SUV,5,5,45998.0,2.5,3,QLD
9864,Volkswagen,2021.0,Golf,Hatchback,USED,Automatic,Front,Premium,5.8,30444.0,4,Hatchback,5,5,36987.0,1.4,3,QLD
9865,Citroen,2017.0,Berlingo,Commercial,USED,Automatic,Front,Diesel,4.1,98969.0,4,Commercial,2,2,22995.0,1.6,7,QLD
9866,Jeep,2013.0,Grand,SUV,USED,Automatic,AWD,Diesel,8.3,232243.0,6,SUV,4,5,15750.0,3.0,11,QLD
9867,Mitsubishi,2019.0,Triton,Ute / Tray,USED,Automatic,4WD,Diesel,7.6,71902.0,4,Ute / Tray,4,5,41990.0,2.4,5,QLD
9869,Toyota,2022.0,RAV4,SUV,USED,Automatic,AWD,Hybrid,4.8,11842.0,4,SUV,5,5,69990.0,2.5,2,VIC
9870,Volkswagen,2014.0,Tiguan,SUV,USED,Automatic,Front,Premium,7.3,134401.0,4,SUV,4,5,17990.0,1.4,10,QLD
9872,Hyundai,2016.0,Accent,Hatchback,USED,Automatic,Front,Unleaded,6.4,20572.0,4,Hatchback,5,5,18980.0,1.4,8,QLD
9873,BMW,2023.0,128TI,Brighton BMW,DEMO,Automatic,Front,Premium,6.8,1598.0,4,Hatchback,5,5,66980.0,2.0,1,VIC
9874,Holden,2013.0,Colorado,Ute / Tray,USED,Automatic,Rear,Diesel,8.9,195055.0,4,Ute / Tray,2,2,18495.0,2.8,11,QLD
9875,Suzuki,2021.0,Ignis,SUV,USED,Automatic,Front,Premium,4.9,30935.0,4,SUV,4,5,19990.0,1.2,3,QLD
9876,Kia,2019.0,Cerato,Hatchback,USED,Automatic,Front,Unleaded,7.4,79130.0,4,Hatchback,5,5,29990.0,2.0,5,VIC
9877,Toyota,2019.0,RAV4,SUV,USED,Automatic,Front,Unleaded,6.5,38356.0,4,SUV,5,5,46990.0,2.0,5,QLD
9879,Ford,2013.0,Territory,SUV,USED,Automatic,Rear,Unleaded,10.6,154231.0,6,SUV,4,7,16990.0,4.0,11,QLD
9880,Kia,2017.0,Sportage,SUV,USED,Automatic,AWD,Diesel,6.8,110996.0,4,SUV,4,5,29990.0,2.0,7,VIC
9881,Mitsubishi,2010.0,Outlander,SUV,USED,Manual,4WD,Unleaded,9.5,252000.0,4,SUV,4,5,8500.0,2.4,14,QLD
9882,Holden,2018.0,Calais,Hatchback,USED,Automatic,AWD,Premium,9.1,53514.0,6,Hatchback,5,5,33980.0,3.6,6,QLD
9883,Honda,2017.0,CR-V,SUV,USED,Automatic,4WD,Unleaded,8.7,64219.0,4,SUV,4,5,29780.0,2.4,7,VIC
9884,Mercedes-Benz,2006.0,GL320,SUV,USED,Automatic,4WD,Diesel,9.8,227444.0,6,SUV,4,7,14988.0,3.0,18,VIC
9885,Mitsubishi,2018.0,Eclipse,SUV,USED,Automatic,Front,Unleaded,7.3,41117.0,4,SUV,4,5,27990.0,1.5,6,VIC
9886,Skoda,2010.0,Superb,Sedan,USED,Automatic,Front,Premium,7.3,144934.0,4,Sedan,4,5,10850.0,1.8,14,VIC
9887,Subaru,2020.0,Liberty,Sedan,USED,Automatic,AWD,Unleaded,7.3,45154.0,4,Sedan,4,5,27990.0,2.5,4,VIC
9888,Mercedes-Benz,2016.0,GLC250,SUV,USED,Automatic,AWD,Diesel,5.7,93536.0,4,SUV,4,5,43362.0,2.1,8,QLD
9889,Holden,2017.0,Colorado,Ute / Tray,USED,Automatic,4WD,Diesel,9.1,112332.0,4,Ute / Tray,2,2,36990.0,2.8,7,QLD
9892,Nissan,2022.0,X-Trail,SUV,USED,Automatic,Front,Unleaded,7.9,24177.0,4,SUV,4,5,41990.0,2.5,2,VIC
9894,Holden,2017.0,Colorado,Ute / Tray,USED,Automatic,Rear,Diesel,8.9,171684.0,4,Ute / Tray,4,5,22990.0,2.8,7,QLD
9895,Toyota,2021.0,RAV4,SUV,USED,Automatic,AWD,Hybrid,4.8,15488.0,4,SUV,5,5,59490.0,2.5,3,QLD
9896,Volkswagen,2019.0,Caddy,Commercial,USED,Automatic,Front,Diesel,5.3,127743.0,4,Commercial,3,2,27990.0,2.0,5,QLD
9897,Kia,2019.0,Cerato,Sedan,USED,Automatic,Front,Unleaded,7.4,57917.0,4,Sedan,4,5,24990.0,2.0,5,VIC
9898,Hyundai,2016.0,Santa,SUV,USED,Automatic,AWD,Diesel,7.8,73252.0,4,SUV,4,7,35900.0,2.2,8,QLD
9899,Mazda,2022.0,BT-50,Ute / Tray,USED,Automatic,4WD,Diesel,8.0,26053.0,4,Ute / Tray,4,5,54998.0,3.0,2,QLD
9900,Mercedes-Benz,2005.0,CLK500,Coupe,USED,Automatic,Rear,Unleaded,0.0,156223.0,8,Coupe,2,5,24990.0,5.0,19,VIC
9901,Volkswagen,2016.0,Polo,Hatchback,USED,Automatic,Front,Premium,4.8,85435.0,4,Hatchback,5,5,17715.0,1.2,8,QLD
9902,Skoda,2022.0,Kamiq,SUV,USED,Automatic,Front,Premium,5.6,14399.0,4,SUV,4,5,38888.0,1.5,2,QLD
9903,Hyundai,2018.0,Kona,SUV,USED,Automatic,Front,Unleaded,7.2,58596.0,4,SUV,4,5,25498.0,2.0,6,QLD
9904,Honda,2012.0,Jazz,Hatchback,USED,Manual,Front,Unleaded,5.8,106291.0,4,Hatchback,5,5,10990.0,1.3,12,VIC
9905,Mazda,2022.0,CX-5,Ipswich Mazda,DEMO,Automatic,AWD,Diesel,6.0,3100.0,4,SUV,4,5,44844.0,2.2,2,QLD
9906,Hyundai,2016.0,Tucson,SUV,USED,Automatic,Front,Unleaded,7.9,46203.0,4,SUV,4,5,28630.0,2.0,8,VIC
9907,Mazda,2021.0,CX-3,SUV,USED,Automatic,Front,Unleaded,6.3,37490.0,4,SUV,4,5,33450.0,2.0,3,VIC
9908,Mitsubishi,2019.0,Outlander,SUV,USED,Automatic,AWD,Unleaded,7.2,79663.0,4,SUV,4,5,31880.0,2.4,5,VIC
9910,Jeep,2017.0,Wrangler,SUV,USED,Automatic,4WD,Unleaded,11.7,114870.0,6,SUV,4,5,50990.0,3.6,7,VIC
9911,Mazda,2018.0,CX-5,SUV,USED,Automatic,AWD,Unleaded,7.5,55224.0,4,SUV,4,5,36850.0,2.5,6,QLD
9912,Toyota,2017.0,Corolla,Sedan,USED,Automatic,Front,Unleaded,6.6,50401.0,4,Sedan,4,5,25990.0,1.8,7,VIC
9913,Kia,2017.0,Rondo,Wagon,USED,Automatic,Front,Unleaded,7.9,44207.0,4,Wagon,4,5,24950.0,2.0,7,VIC
9914,Nissan,2015.0,Pathfinder,SUV,USED,Automatic,4WD,Premium,10.2,123960.0,6,SUV,4,7,26990.0,3.5,9,VIC
9915,Hyundai,2020.0,Venue,SUV,USED,Automatic,Front,Unleaded,7.2,36376.0,4,SUV,4,5,24990.0,1.6,4,QLD
9916,Mitsubishi,2020.0,Triton,Ute / Tray,USED,Automatic,Front,Diesel,8.4,16557.0,4,Ute / Tray,4,5,39980.0,2.4,4,QLD
9917,Toyota,2022.0,Landcruiser,SUV,USED,Automatic,4WD,Diesel,7.9,9226.0,4,SUV,4,7,81895.0,2.8,2,QLD
9918,Jeep,2017.0,Grand,SUV,USED,Automatic,4WD,Diesel,7.5,93985.0,6,SUV,4,5,47990.0,3.0,7,VIC
9919,Holden,2015.0,Barina,Hatchback,USED,Automatic,Front,Unleaded,5.8,89953.0,4,Hatchback,5,5,13970.0,1.2,9,VIC
9920,Volkswagen,2011.0,Caddy,Commercial,USED,Manual,Front,Diesel,5.2,267628.0,4,Commercial,3,2,10990.0,1.6,13,VIC
9922,Mazda,2018.0,CX-5,SUV,USED,Automatic,AWD,Unleaded,7.5,40545.0,4,SUV,4,5,38990.0,2.5,6,VIC
9923,Peugeot,2012.0,308,Wagon,USED,Automatic,Front,Diesel,6.7,116800.0,4,Wagon,4,7,12499.0,2.0,12,QLD
9924,Nissan,2002.0,Patrol,SUV,USED,Automatic,4WD,Unleaded,0.0,349275.0,6,SUV,4,7,16990.0,4.8,22,VIC
9925,Hyundai,2021.0,Kona,SUV,USED,Automatic,Front,Unleaded,6.2,37935.0,4,SUV,4,5,27998.0,2.0,3,QLD
9927,GWM,2023.0,UTE,Springwood GWM HAVAL,DEMO,Automatic,4WD,Diesel,9.4,18.0,4,Ute / Tray,4,5,41888.0,2.0,1,QLD
9928,Mitsubishi,2013.0,Outlander,SUV,USED,Automatic,Front,Unleaded,6.6,229640.0,4,SUV,4,5,12990.0,2.0,11,QLD
9930,Audi,2011.0,S3,Hatchback,USED,Automatic,AWD,Premium,8.4,99945.0,4,Hatchback,5,5,30660.0,2.0,13,QLD
9931,Toyota,2019.0,RAV4,SUV,USED,Automatic,Front,Unleaded,6.5,59838.0,4,SUV,5,5,36990.0,2.0,5,VIC
9932,Mazda,2017.0,BT-50,Ute / Tray,USED,Automatic,Rear,Diesel,8.9,223358.0,5,Ute / Tray,4,5,22999.0,3.2,7,QLD
9935,Toyota,2020.0,Corolla,Hatchback,USED,Automatic,Front,Hybrid,4.2,66543.0,4,Hatchback,5,5,34990.0,1.8,4,VIC
9936,Ford,2021.0,Ranger,Ute / Tray,USED,Automatic,4WD,Diesel,7.4,33154.0,4,Ute / Tray,4,5,57980.0,2.0,3,QLD
9937,Ford,2021.0,Ranger,Ute / Tray,USED,Automatic,4WD,Diesel,7.4,61248.0,4,Ute / Tray,4,5,59888.0,2.0,3,VIC
9938,Nissan,2020.0,Juke,SUV,USED,Automatic,Front,Premium,5.8,27400.0,3,SUV,5,5,31990.0,1.0,4,QLD
9939,Mazda,2018.0,BT-50,Ute / Tray,USED,Automatic,4WD,Diesel,10.0,92715.0,5,Ute / Tray,4,5,38990.0,3.2,6,VIC
9940,BMW,2019.0,X4,SUV,USED,Automatic,AWD,Premium,7.8,75428.0,4,SUV,5,5,57990.0,2.0,5,QLD
9941,Holden,2014.0,Barina,Hatchback,USED,Automatic,Front,Unleaded,6.4,197781.0,4,Hatchback,5,5,11999.0,1.6,10,VIC
9942,Toyota,2018.0,RAV4,SUV,USED,Automatic,Front,Unleaded,7.0,101855.0,4,SUV,4,5,27895.0,2.0,6,QLD
9944,Hyundai,2010.0,I45,Sedan,USED,Automatic,Front,Unleaded,7.9,213480.0,4,Sedan,4,5,8999.0,2.4,14,QLD
9945,Hyundai,2019.0,I30,Hatchback,USED,Automatic,Front,Unleaded,7.4,53740.0,4,Hatchback,4,5,23990.0,2.0,5,QLD
9946,Nissan,2019.0,X-Trail,SUV,USED,Automatic,Front,Unleaded,8.1,77669.0,4,SUV,4,7,27880.0,2.5,5,VIC
9947,Toyota,2018.0,Landcruiser,SUV,USED,Automatic,4WD,Diesel,8.0,150419.0,4,SUV,4,7,57990.0,2.8,6,QLD
9948,MG,2021.0,MG3,Hatchback,USED,Automatic,Front,Premium,6.7,15870.0,4,Hatchback,5,5,16990.0,1.5,3,VIC
9949,Skoda,2019.0,Karoq,SUV,USED,Automatic,Front,Unleaded,6.6,75132.0,4,SUV,4,5,32444.0,1.4,5,QLD
9950,Mitsubishi,2017.0,Lancer,Sedan,USED,Automatic,Front,Unleaded,7.4,93837.0,4,Sedan,4,5,19990.0,2.0,7,QLD
9951,Nissan,2021.0,X-Trail,SUV,USED,Automatic,4WD,Unleaded,8.3,38120.0,4,SUV,4,5,41990.0,2.5,3,VIC
